RS_Num,River,RecaptureSite,Date,Time,UTM_X,UTM_Y,Species,Length,Weight,TagType,TagID,QAQC,TagSize,Ant,Event,FinClip,Mortality,Comments
1,Fraser River,Kaibab Park,8/31/2022,12:00:00,420566,4437167,MTS,94,11,HA,226001581293,pass,12,Handheld,Recapture,right pelvic,0,
1,Fraser River,Kaibab Park,8/31/2022,12:00:00,420566,4437167,MTS,98,14,HA,226001581322,pass,12,Handheld,Recapture,right pelvic,0,
1,Fraser River,Kaibab Park,8/31/2022,12:00:00,420566,4437167,MTS,101,15,HA,226001581418,pass,12,Handheld,Recapture,right pelvic,0,
1,Fraser River,Kaibab Park,8/31/2022,12:00:00,420566,4437167,MTS,112,19,HA,226001581665,pass,12,Handheld,Recapture,right pelvic,0,
1,Fraser River,Kaibab Park,8/31/2022,12:00:00,420566,4437167,MTS,109,20,HA,226001581674,pass,12,Handheld,Recapture,right pelvic,0,
1,Fraser River,Kaibab Park,8/31/2022,12:00:00,420566,4437167,LOC,347,396,HA,230000224258,pass,32,Handheld,Recapture,adp,0,
1,Fraser River,Kaibab Park,8/31/2022,12:00:00,420566,4437167,LOC,258,179,HA,230000224272,pass,32,Handheld,Recapture,adp,0,
1,Fraser River,Kaibab Park,8/31/2022,12:00:00,420566,4437167,LOC,231,121,HA,230000224274,pass,32,Handheld,Recapture,adp,0,
1,Fraser River,Kaibab Park,8/31/2022,12:00:00,420566,4437167,LOC,224,113,HA,230000224281,pass,32,Handheld,Recapture,adp,0,
1,Fraser River,Kaibab Park,8/31/2022,12:00:00,420566,4437167,LOC,230,125,HA,230000224282,pass,32,Handheld,Recapture,adp,0,
1,Fraser River,Kaibab Park,8/31/2022,12:00:00,420566,4437167,LOC,251,156,HA,230000224285,pass,32,Handheld,Recapture,adp,0,
1,Fraser River,Kaibab Park,8/31/2022,12:00:00,420566,4437167,LOC,257,159,HA,230000224299,pass,32,Handheld,Recapture,adp,0,
1,Fraser River,Kaibab Park,8/31/2022,12:00:00,420566,4437167,LOC,248,161,HA,230000224413,pass,32,Handheld,Recapture,adp,0,
1,Fraser River,Kaibab Park,8/31/2022,12:00:00,420566,4437167,LOC,284,270,HA,230000224414,pass,32,Handheld,Recapture,adp,0,
1,Fraser River,Kaibab Park,8/31/2022,12:00:00,420566,4437167,LOC,263,179,HA,230000224418,pass,32,Handheld,Recapture,adp,0,
1,Fraser River,Kaibab Park,8/31/2022,12:00:00,420566,4437167,LOC,234,125,HA,230000224522,pass,32,Handheld,Recapture,adp,0,
1,Fraser River,Kaibab Park,8/31/2022,12:00:00,420566,4437167,LOC,243,143,HA,230000224523,pass,32,Handheld,Recapture,adp,0,
1,Fraser River,Kaibab Park,8/31/2022,12:00:00,420566,4437167,LOC,228,119,HA,230000224528,pass,32,Handheld,Recapture,adp,0,Two tags in fish; 230000143276
1,Fraser River,Kaibab Park,8/31/2022,12:00:00,420566,4437167,LOC,237,128,HA,230000224530,pass,32,Handheld,Recapture,adp,0,
1,Fraser River,Kaibab Park,8/31/2022,12:00:00,420566,4437167,LOC,210,97,HA,230000224532,pass,32,Handheld,Recapture,adp,0,
1,Fraser River,Kaibab Park,8/31/2022,12:00:00,420566,4437167,LOC,226,140,HA,230000224534,pass,32,Handheld,Recapture,adp,0,
1,Fraser River,Kaibab Park,8/31/2022,12:00:00,420566,4437167,LOC,228,124,HA,230000224537,pass,32,Handheld,Recapture,adp,0,
1,Fraser River,Kaibab Park,8/31/2022,12:00:00,420566,4437167,LOC,205,89,HA,230000224540,pass,32,Handheld,Recapture,adp,0,
1,Fraser River,Kaibab Park,8/31/2022,12:00:00,420566,4437167,LOC,290,231,HA,230000228108,pass,32,Handheld,Recapture,adp,0,
